"source_code","sku","status","availability","availability_order","availability_date"
"220","100051","1","2 horas","1","2019-05-28"
"193","104874","1","2 horas","1","2019-05-28"
"220","74063","1","2 horas","1","2019-05-28"
"189","92637","1","2 horas","1","2019-05-28"
"205","108152","1","2 horas","1","2019-05-28"
"194","112897","1","2 horas","1","2019-05-28"
"207","108489","1","2 horas","1","2019-05-28"
"212","108489","1","2 horas","1","2019-05-28"
"206","95062","1","2 horas","1","2019-05-28"
"189","73357","1","2 horas","1","2019-05-28"
"209","73357","1","2 horas","1","2019-05-28"
"198","97657","1","2 horas","1","2019-05-28"
"216","97657","1","2 horas","1","2019-05-28"
"215","97364","1","2 horas","1","2019-05-28"
"225","108067","1","2 horas","1","2019-05-28"
"181","97894","1","2 horas","1","2019-05-28"
"176","98027","1","2 horas","1","2019-05-28"
"217","82214","1","2 horas","1","2019-05-28"
"186","71638","1","2 horas","1","2019-05-28"
"221","97306","1","2 horas","1","2019-05-28"
"172","94838","1","2 horas","1","2019-05-28"
"206","99017","1","2 horas","1","2019-05-28"
"190","95950","1","2 horas","1","2019-05-28"
"184","93407","1","Disponible a partir de fecha determinada","3","2019-05-30"
"210","98560","1","2 horas","1","2019-05-28"
"203","108227","1","2 horas","1","2019-05-28"
"220","108091","1","2 horas","1","2019-05-28"
"191","108097","1","2 horas","1","2019-05-28"
"204","104858","1","2 horas","1","2019-05-28"
"206","98692","1","2 horas","1","2019-05-28"
"206","95625","1","2 horas","1","2019-05-28"
"183","104853","1","2 horas","1","2019-05-28"
"185","100051","1","2 horas","1","2019-05-28"
"198","107110","1","2 horas","1","2019-05-28"
"184","62694","1","2 horas","1","2019-05-28"
"216","97665","1","2 horas","1","2019-05-28"
"206","75749","1","2 horas","1","2019-05-28"
"175","94892","1","2 horas","1","2019-05-28"
"203","92697","1","2 horas","1","2019-05-28"
"174","99597","1","2 horas","1","2019-05-28"
"210","94830","1","2 horas","1","2019-05-28"
"222","108092","1","2 horas","1","2019-05-28"
"209","104857","1","2 horas","1","2019-05-28"
"191","72100","1","2 horas","1","2019-05-28"
"212","99033","1","2 horas","1","2019-05-28"
"208","98821","1","2 horas","1","2019-05-28"
"215","82232","1","2 horas","1","2019-05-28"
"186","105671","1","Disponible a partir de fecha determinada","3","2019-05-30"
"208","82214","1","2 horas","1","2019-05-28"
"205","97336","1","2 horas","1","2019-05-28"
"190","97163","1","2 horas","1","2019-05-28"
"177","116746","1","2 horas","1","2019-05-28"
"221","94933","1","2 horas","1","2019-05-28"
"209","97895","1","2 horas","1","2019-05-28"
"208","77559","1","2 horas","1","2019-05-28"
"198","70030","1","Disponible a partir de fecha determinada","3","2019-05-30"
"195","97351","1","2 horas","1","2019-05-28"
"210","81997","1","2 horas","1","2019-05-28"
"187","98192","1","2 horas","1","2019-05-28"
"185","97660","1","2 horas","1","2019-05-28"
"193","93188","1","2 horas","1","2019-05-28"
"213","73881","1","2 horas","1","2019-05-28"
"181","85721","1","2 horas","1","2019-05-28"
"197","97825","1","2 horas","1","2019-05-28"
"225","97179","1","Disponible a partir de fecha determinada","3","2019-05-30"
"181","96474","1","2 horas","1","2019-05-28"
"177","62635","1","2 horas","1","2019-05-28"
"214","62635","1","2 horas","1","2019-05-28"
"184","97113","1","2 horas","1","2019-05-28"
"194","81387","1","2 horas","1","2019-05-28"
"225","80264","1","Disponible a partir de fecha determinada","3","2019-05-30"
"224","81303","1","2 horas","1","2019-05-28"
"203","62632","1","2 horas","1","2019-05-28"
"184","111431","1","2 horas","1","2019-05-28"
"173","106054","1","2 horas","1","2019-05-28"
"219","97178","1","2 horas","1","2019-05-28"
"206","97145","1","2 horas","1","2019-05-28"
"205","104852","1","2 horas","1","2019-05-28"
"199","40231","1","2 horas","1","2019-05-28"
"214","98820","1","2 horas","1","2019-05-28"
"226","104865","1","2 horas","1","2019-05-28"
"182","93876","1","2 horas","1","2019-05-28"
"225","94836","1","2 horas","1","2019-05-28"
"188","98191","1","2 horas","1","2019-05-28"
"175","71638","1","2 horas","1","2019-05-28"
"180","94832","1","2 horas","1","2019-05-28"
"203","97830","1","Disponible a partir de fecha determinada","3","2019-05-30"
"212","71033","1","2 horas","1","2019-05-28"
"189","62627","1","2 horas","1","2019-05-28"
"198","70310","1","2 horas","1","2019-05-28"
"216","104855","1","2 horas","1","2019-05-28"
"220","97660","1","2 horas","1","2019-05-28"
"222","98190","1","2 horas","1","2019-05-28"
"188","95027","1","2 horas","1","2019-05-28"
"190","99697","1","Disponible a partir de fecha determinada","3","2019-05-30"
"187","113551","1","2 horas","1","2019-05-28"
"209","98189","1","2 horas","1","2019-05-28"
"211","98189","1","2 horas","1","2019-05-28"
"199","81227","1","2 horas","1","2019-05-28"
"209","94970","1","2 horas","1","2019-05-28"
"202","65584","1","2 horas","1","2019-05-28"
"190","94974","1","Disponible a partir de fecha determinada","3","2019-05-30"
"223","92659","1","2 horas","1","2019-05-28"
"173","94831","1","2 horas","1","2019-05-28"
"210","95588","1","2 horas","1","2019-05-28"
"189","79560","1","Disponible a partir de fecha determinada","3","2019-05-30"
"201","72168","1","2 horas","1","2019-05-28"
"214","72168","1","2 horas","1","2019-05-28"
"215","98821","1","2 horas","1","2019-05-28"
"216","82232","1","2 horas","1","2019-05-28"
"196","98820","1","2 horas","1","2019-05-28"
"212","71861","1","2 horas","1","2019-05-28"
"219","96475","1","2 horas","1","2019-05-28"
"178","82214","1","2 horas","1","2019-05-28"
"210","105673","1","2 horas","1","2019-05-28"
"175","77538","1","2 horas","1","2019-05-28"
"204","97816","1","2 horas","1","2019-05-28"
"193","94838","1","2 horas","1","2019-05-28"
"207","94990","1","2 horas","1","2019-05-28"
"184","95950","1","2 horas","1","2019-05-28"
"179","97332","1","2 horas","1","2019-05-28"
"185","97332","1","2 horas","1","2019-05-28"
"219","73585","1","Disponible a partir de fecha determinada","3","2019-05-30"
"203","97334","1","2 horas","1","2019-05-28"
"190","104855","1","2 horas","1","2019-05-28"
"224","97661","1","2 horas","1","2019-05-28"
"213","100004","1","2 horas","1","2019-05-28"
"213","81578","1","2 horas","1","2019-05-28"
"190","71561","1","2 horas","1","2019-05-28"
"207","104874","1","2 horas","1","2019-05-28"
"190","71846","1","2 horas","1","2019-05-28"
"204","98188","1","2 horas","1","2019-05-28"
"225","78541","1","2 horas","1","2019-05-28"
"186","108152","1","2 horas","1","2019-05-28"
"214","108152","1","2 horas","1","2019-05-28"
"221","97165","1","2 horas","1","2019-05-28"
"210","107257","1","2 horas","1","2019-05-28"
"218","92697","1","2 horas","1","2019-05-28"
"194","96071","1","2 horas","1","2019-05-28"
"183","105719","1","2 horas","1","2019-05-28"
"203","72168","1","2 horas","1","2019-05-28"
"198","107167","1","2 horas","1","2019-05-28"
"213","99033","1","2 horas","1","2019-05-28"
"215","94837","1","2 horas","1","2019-05-28"
"195","73953","1","2 horas","1","2019-05-28"
"221","98819","1","2 horas","1","2019-05-28"
"211","108490","1","2 horas","1","2019-05-28"
"186","95957","1","2 horas","1","2019-05-28"
"214","92615","1","2 horas","1","2019-05-28"
"202","97170","1","2 horas","1","2019-05-28"
"197","97837","1","2 horas","1","2019-05-28"
"190","92630","1","2 horas","1","2019-05-28"
"217","62635","1","2 horas","1","2019-05-28"
"173","97155","1","2 horas","1","2019-05-28"
"207","504540","1","2 horas","1","2019-05-28"
"192","30472","1","2 horas","1","2019-05-28"
"190","77999","1","2 horas","1","2019-05-28"
"206","97333","1","2 horas","1","2019-05-28"
"220","94837","1","2 horas","1","2019-05-28"
"204","98821","1","2 horas","1","2019-05-28"
"172","98820","1","2 horas","1","2019-05-28"
"178","99053","1","2 horas","1","2019-05-28"
"206","92656","1","2 horas","1","2019-05-28"
"226","104859","1","2 horas","1","2019-05-28"
"189","97895","1","2 horas","1","2019-05-28"
"184","85855","1","2 horas","1","2019-05-28"
"211","98191","1","2 horas","1","2019-05-28"
"212","98492","1","2 horas","1","2019-05-28"
"171","97658","1","2 horas","1","2019-05-28"
"210","97658","1","2 horas","1","2019-05-28"
"202","92658","1","2 horas","1","2019-05-28"
"201","97351","1","2 horas","1","2019-05-28"
"196","93284","1","2 horas","1","2019-05-28"
"203","95581","1","2 horas","1","2019-05-28"
"220","79581","1","2 horas","1","2019-05-28"
"181","112631","1","2 horas","1","2019-05-28"
"215","108488","1","2 horas","1","2019-05-28"
"217","92661","1","2 horas","1","2019-05-28"
"192","78896","1","2 horas","1","2019-05-28"
"182","99253","1","Disponible a partir de fecha determinada","3","2019-05-30"
"198","98599","1","2 horas","1","2019-05-28"
"190","105699","1","2 horas","1","2019-05-28"
"222","98202","1","2 horas","1","2019-05-28"
"204","75735","1","2 horas","1","2019-05-28"
"216","97144","1","2 horas","1","2019-05-28"
"188","97165","1","2 horas","1","2019-05-28"
"180","100055","1","Disponible a partir de fecha determinada","3","2019-05-30"
"224","43202","1","2 horas","1","2019-05-28"
"198","70680","1","2 horas","1","2019-05-28"
"184","98821","1","2 horas","1","2019-05-28"
"209","98821","1","2 horas","1","2019-05-28"
"178","72144","1","Disponible a partir de fecha determinada","3","2019-05-30"
"191","97894","1","2 horas","1","2019-05-28"
"225","97894","1","2 horas","1","2019-05-28"
"210","112894","1","2 horas","1","2019-05-28"
"197","93114","1","2 horas","1","2019-05-28"
"221","65588","1","2 horas","1","2019-05-28"
"186","99059","1","2 horas","1","2019-05-28"
"225","97895","1","2 horas","1","2019-05-28"
"212","97830","1","2 horas","1","2019-05-28"
"220","92654","1","2 horas","1","2019-05-28"
"206","98237","1","2 horas","1","2019-05-28"
"197","97334","1","2 horas","1","2019-05-28"
"212","98477","1","2 horas","1","2019-05-28"
"177","71033","1","2 horas","1","2019-05-28"
"183","108227","1","2 horas","1","2019-05-28"
"194","105736","1","2 horas","1","2019-05-28"
"210","97660","1","2 horas","1","2019-05-28"
"219","99142","1","Disponible a partir de fecha determinada","3","2019-05-30"
"205","96476","1","2 horas","1","2019-05-28"
"218","82011","1","2 horas","1","2019-05-28"
"190","97331","1","2 horas","1","2019-05-28"
"191","97331","1","2 horas","1","2019-05-28"
"226","104853","1","2 horas","1","2019-05-28"
"185","96474","1","2 horas","1","2019-05-28"
"218","62635","1","2 horas","1","2019-05-28"
"225","73862","1","2 horas","1","2019-05-28"
"183","108493","1","2 horas","1","2019-05-28"
"201","71846","1","2 horas","1","2019-05-28"
"207","71846","1","2 horas","1","2019-05-28"
"199","27284","1","2 horas","1","2019-05-28"
"179","108092","1","2 horas","1","2019-05-28"
"201","104857","1","2 horas","1","2019-05-28"
"206","97831","1","2 horas","1","2019-05-28"
"212","71844","1","2 horas","1","2019-05-28"
"172","96475","1","2 horas","1","2019-05-28"
"190","97469","1","Disponible a partir de fecha determinada","3","2019-05-30"
"201","97823","1","2 horas","1","2019-05-28"
"226","94836","1","2 horas","1","2019-05-28"
"218","97658","1","2 horas","1","2019-05-28"
"225","97658","1","2 horas","1","2019-05-28"
"218","112561","1","2 horas","1","2019-05-28"
"204","65958","1","Disponible a partir de fecha determinada","3","2019-05-30"
"182","81227","1","2 horas","1","2019-05-28"
"194","81227","1","2 horas","1","2019-05-28"
"223","97331","1","2 horas","1","2019-05-28"
"223","62635","1","2 horas","1","2019-05-28"
"215","98599","1","2 horas","1","2019-05-28"
"207","108487","1","2 horas","1","2019-05-28"
"190","97118","1","2 horas","1","2019-05-28"
"194","71132","1","2 horas","1","2019-05-28"
"174","97665","1","2 horas","1","2019-05-28"
"211","71846","1","2 horas","1","2019-05-28"
"172","97144","1","2 horas","1","2019-05-28"
"225","97165","1","2 horas","1","2019-05-28"
"212","92620","1","Disponible a partir de fecha determinada","3","2019-05-30"
"202","108092","1","2 horas","1","2019-05-28"
"217","73357","1","2 horas","1","2019-05-28"
"175","95768","1","2 horas","1","2019-05-28"
"184","94836","1","2 horas","1","2019-05-28"
"174","98191","1","2 horas","1","2019-05-28"
"174","97658","1","2 horas","1","2019-05-28"
"193","98237","1","2 horas","1","2019-05-28"
"211","92628","1","Disponible a partir de fecha determinada","3","2019-05-30"
"206","81154","1","2 horas","1","2019-05-28"
"222","98192","1","2 horas","1","2019-05-28"
"190","97136","1","Disponible a partir de fecha determinada","3","2019-05-30"
"211","108075","1","2 horas","1","2019-05-28"
"187","99075","1","2 horas","1","2019-05-28"
"215","82228","1","2 horas","1","2019-05-28"
"184","104851","1","2 horas","1","2019-05-28"
"213","104851","1","2 horas","1","2019-05-28"
"218","72226","1","2 horas","1","2019-05-28"
"179","81303","1","2 horas","1","2019-05-28"
"174","64166","1","2 horas","1","2019-05-28"
"181","99510","1","2 horas","1","2019-05-28"
"204","97178","1","Disponible a partir de fecha determinada","3","2019-05-30"
"199","108152","1","2 horas","1","2019-05-28"
"210","81660","1","2 horas","1","2019-05-28"
"201","99775","1","Disponible a partir de fecha determinada","3","2019-05-30"
"201","108092","1","2 horas","1","2019-05-28"
"219","72100","1","2 horas","1","2019-05-28"
"184","70680","1","2 horas","1","2019-05-28"
"210","71861","1","2 horas","1","2019-05-28"
"210","111694","1","2 horas","1","2019-05-28"
"190","79550","1","2 horas","1","2019-05-28"
"225","92658","1","2 horas","1","2019-05-28"
"216","97332","1","2 horas","1","2019-05-28"
"217","97335","1","2 horas","1","2019-05-28"
"174","98189","1","2 horas","1","2019-05-28"
"212","92600","1","2 horas","1","2019-05-28"
"176","98496","1","2 horas","1","2019-05-28"
"193","72383","1","2 horas","1","2019-05-28"
"226","105672","1","2 horas","1","2019-05-28"
"190","72505","1","Disponible a partir de fecha determinada","3","2019-05-30"
"205","62694","1","2 horas","1","2019-05-28"
"194","105723","1","2 horas","1","2019-05-28"
"189","105699","1","2 horas","1","2019-05-28"
"212","67176","1","2 horas","1","2019-05-28"
"201","97659","1","2 horas","1","2019-05-28"
"171","108489","1","2 horas","1","2019-05-28"
"226","72168","1","2 horas","1","2019-05-28"
"219","70680","1","2 horas","1","2019-05-28"
"203","82232","1","2 horas","1","2019-05-28"
"220","93114","1","2 horas","1","2019-05-28"
"210","75821","1","2 horas","1","2019-05-28"
"223","70346","1","Disponible a partir de fecha determinada","3","2019-05-30"
"171","94836","1","2 horas","1","2019-05-28"
"173","97658","1","2 horas","1","2019-05-28"
"196","97332","1","2 horas","1","2019-05-28"
"216","82225","1","2 horas","1","2019-05-28"
"201","98192","1","2 horas","1","2019-05-28"
"222","96476","1","2 horas","1","2019-05-28"
"219","78468","1","2 horas","1","2019-05-28"
"198","104858","1","2 horas","1","2019-05-28"
"220","108488","1","2 horas","1","2019-05-28"
"189","85721","1","2 horas","1","2019-05-28"
"205","94835","1","2 horas","1","2019-05-28"
"204","108137","1","2 horas","1","2019-05-28"
"190","73907","1","2 horas","1","2019-05-28"
"189","105999","1","2 horas","1","2019-05-28"
"172","80579","1","2 horas","1","2019-05-28"
"183","71343","1","2 horas","1","2019-05-28"
"182","93346","1","Disponible a partir de fecha determinada","3","2019-05-30"
"197","97665","1","2 horas","1","2019-05-28"
"214","78532","1","2 horas","1","2019-05-28"
"216","97165","1","2 horas","1","2019-05-28"
"205","107167","1","2 horas","1","2019-05-28"
"198","97193","1","2 horas","1","2019-05-28"
"216","72144","1","2 horas","1","2019-05-28"
"190","77524","1","2 horas","1","2019-05-28"
"195","105673","1","2 horas","1","2019-05-28"
"214","97895","1","2 horas","1","2019-05-28"
"221","105969","1","2 horas","1","2019-05-28"
"222","94832","1","2 horas","1","2019-05-28"
"205","72009","1","2 horas","1","2019-05-28"
"219","95950","1","2 horas","1","2019-05-28"
"171","98237","1","2 horas","1","2019-05-28"
"182","97819","1","2 horas","1","2019-05-28"
"171","98189","1","2 horas","1","2019-05-28"
"191","71330","1","2 horas","1","2019-05-28"
"214","92640","1","Disponible a partir de fecha determinada","3","2019-05-30"
"196","81578","1","2 horas","1","2019-05-28"
"192","92615","1","2 horas","1","2019-05-28"
"187","108137","1","2 horas","1","2019-05-28"
"190","94889","1","2 horas","1","2019-05-28"
"187","81303","1","2 horas","1","2019-05-28"
"221","108491","1","2 horas","1","2019-05-28"
"202","77999","1","2 horas","1","2019-05-28"
"215","98228","1","Disponible a partir de fecha determinada","3","2019-05-30"
"211","92626","1","Disponible a partir de fecha determinada","3","2019-05-30"
"209","104852","1","2 horas","1","2019-05-28"
"208","108152","1","2 horas","1","2019-05-28"
"226","71767","1","2 horas","1","2019-05-28"
"184","70723","1","2 horas","1","2019-05-28"
"210","42447","1","2 horas","1","2019-05-28"
"184","72088","1","2 horas","1","2019-05-28"
"173","98821","1","2 horas","1","2019-05-28"
"220","98821","1","2 horas","1","2019-05-28"
"210","95018","1","2 horas","1","2019-05-28"
"183","82149","1","2 horas","1","2019-05-28"
"219","106585","1","2 horas","1","2019-05-28"
"182","73315","1","2 horas","1","2019-05-28"
"206","104859","1","2 horas","1","2019-05-28"
"209","82219","1","2 horas","1","2019-05-28"
"174","104856","1","2 horas","1","2019-05-28"
"177","97658","1","2 horas","1","2019-05-28"
"174","72238","1","Disponible a partir de fecha determinada","3","2019-05-30"
"211","79581","1","2 horas","1","2019-05-28"
"205","82225","1","2 horas","1","2019-05-28"
"201","98190","1","2 horas","1","2019-05-28"
"210","94839","1","2 horas","1","2019-05-28"
"202","111478","1","2 horas","1","2019-05-28"
"186","92640","1","Disponible a partir de fecha determinada","3","2019-05-30"
"210","77718","1","Disponible a partir de fecha determinada","3","2019-05-30"
"192","97114","1","2 horas","1","2019-05-28"
"215","94967","1","2 horas","1","2019-05-28"
"185","98599","1","2 horas","1","2019-05-28"
"199","100059","1","2 horas","1","2019-05-28"
"204","71803","1","Disponible a partir de fecha determinada","3","2019-05-30"
"221","95635","1","2 horas","1","2019-05-28"
"205","65667","1","2 horas","1","2019-05-28"
"189","81387","1","48 horas","2","2019-05-30"
"186","80579","1","2 horas","1","2019-05-28"
"208","81303","1","2 horas","1","2019-05-28"
"177","99581","1","2 horas","1","2019-05-28"
"190","75735","1","2 horas","1","2019-05-28"
"192","97190","1","2 horas","1","2019-05-28"
"220","97165","1","2 horas","1","2019-05-28"
"215","104857","1","2 horas","1","2019-05-28"
"222","98821","1","2 horas","1","2019-05-28"
"211","111764","1","2 horas","1","2019-05-28"
"173","97332","1","2 horas","1","2019-05-28"
"179","82225","1","2 horas","1","2019-05-28"
"194","80849","1","Disponible a partir de fecha determinada","3","2019-05-30"
"218","72080","1","2 horas","1","2019-05-28"
"209","104855","1","2 horas","1","2019-05-28"
"226","93290","1","2 horas","1","2019-05-28"
"216","80990","1","2 horas","1","2019-05-28"
"195","82221","1","2 horas","1","2019-05-28"
"223","72226","1","Disponible a partir de fecha determinada","3","2019-05-30"
"209","104874","1","2 horas","1","2019-05-28"
"174","71846","1","2 horas","1","2019-05-28"
"195","78541","1","2 horas","1","2019-05-28"
"208","78541","1","2 horas","1","2019-05-28"
"174","98236","1","2 horas","1","2019-05-28"
"214","97165","1","2 horas","1","2019-05-28"
"219","95499","1","2 horas","1","2019-05-28"
"199","97163","1","2 horas","1","2019-05-28"
"196","105673","1","2 horas","1","2019-05-28"
"209","104859","1","2 horas","1","2019-05-28"
"204","105685","1","Disponible a partir de fecha determinada","3","2019-05-30"
"209","97658","1","2 horas","1","2019-05-28"
"181","99971","1","Disponible a partir de fecha determinada","3","2019-05-30"
"199","82225","1","2 horas","1","2019-05-28"
"221","100020","1","Disponible a partir de fecha determinada","3","2019-05-30"
"181","96476","1","2 horas","1","2019-05-28"
"221","81578","1","2 horas","1","2019-05-28"
"190","96079","1","Disponible a partir de fecha determinada","3","2019-05-30"
"195","94831","1","2 horas","1","2019-05-28"
"220","71985","1","2 horas","1","2019-05-28"
"223","99088","1","2 horas","1","2019-05-28"
"209","95816","1","2 horas","1","2019-05-28"
"214","106199","1","2 horas","1","2019-05-28"
"223","98188","1","2 horas","1","2019-05-28"
"197","95499","1","2 horas","1","2019-05-28"
"224","72100","1","2 horas","1","2019-05-28"
"210","70680","1","2 horas","1","2019-05-28"
"225","73357","1","2 horas","1","2019-05-28"
"207","98821","1","2 horas","1","2019-05-28"
"217","96475","1","2 horas","1","2019-05-28"
"173","97894","1","2 horas","1","2019-05-28"
"189","92713","1","2 horas","1","2019-05-28"
"182","99353","1","2 horas","1","2019-05-28"
"185","71052","1","Disponible a partir de fecha determinada","3","2019-05-30"
"225","71918","1","2 horas","1","2019-05-28"
"215","106005","1","2 horas","1","2019-05-28"
"211","108477","1","2 horas","1","2019-05-28"
"211","95950","1","2 horas","1","2019-05-28"
"190","78004","1","2 horas","1","2019-05-28"
"214","62627","1","2 horas","1","2019-05-28"
"216","96476","1","2 horas","1","2019-05-28"
"197","94833","1","2 horas","1","2019-05-28"
"179","108224","1","2 horas","1","2019-05-28"
"204","85721","1","2 horas","1","2019-05-28"
"219","97160","1","2 horas","1","2019-05-28"
"225","92798","1","2 horas","1","2019-05-28"
"188","80579","1","2 horas","1","2019-05-28"
"212","75735","1","2 horas","1","2019-05-28"
"177","94830","1","2 horas","1","2019-05-28"
"208","108092","1","2 horas","1","2019-05-28"
"220","95740","1","2 horas","1","2019-05-28"
"199","99936","1","2 horas","1","2019-05-28"
"179","71844","1","2 horas","1","2019-05-28"
"210","97128","1","2 horas","1","2019-05-28"
"186","97895","1","48 horas","2","2019-05-30"
